item_code,design_code,design_name,category,karat,gold_color,ring_size,diamond_grade,actual_net_weight,actual_diamond_weight,cert_lab,cert_number,hallmark_number,price,status
YRA-0001-14Y-12,RG-001,Aura Diamond Ring,Rings,14Kt,Yellow,12,HI/SI,3.457,1.18,IGI,777129422,,112500.0,in_stock
YRA-0001-14Y-20,RG-001,Aura Diamond Ring,Rings,14Kt,Yellow,20,JK/SI,3.891,1.19,GIA,153246119,,77300.0,sold
YRA-0001-14Y-14,RG-001,Aura Diamond Ring,Rings,14Kt,Yellow,14,HI/SI,3.561,1.15,GIA,550047120,,111200.0,in_stock
YRA-0001-14W-12,RG-001,Aura Diamond Ring,Rings,14Kt,White,12,HI/SI,3.457,1.18,IGI,724488420,,112500.0,in_stock
YRA-0001-14W-18,RG-001,Aura Diamond Ring,Rings,14Kt,White,18,HI/SI,3.778,1.16,IGI,705985840,,113700.0,in_stock
YRA-0001-14W-20,RG-001,Aura Diamond Ring,Rings,14Kt,White,20,JK/SI,3.891,1.16,GIA,934543046,,76200.0,in_stock
YRA-0001-18W-18,RG-001,Aura Diamond Ring,Rings,18Kt,White,18,JK/SI,4.534,1.18,IGI,187891151,,89800.0,in_stock
YRA-0001-18W-14,RG-001,Aura Diamond Ring,Rings,18Kt,White,14,IJ/SI,4.273,1.17,GIA,409170818,,104800.0,in_stock
YRA-0001-18W-12,RG-001,Aura Diamond Ring,Rings,18Kt,White,12,JK/SI,4.148,1.15,GIA,277126709,,84800.0,sold
YRA-0001-18R-6,RG-001,Aura Diamond Ring,Rings,18Kt,Rose,6,JK/SI,3.797,1.15,IGI,920951719,,81300.0,in_stock
YRA-0001-18R-20,RG-001,Aura Diamond Ring,Rings,18Kt,Rose,20,IJ/SI,4.669,1.18,GIA,846567715,,109300.0,in_stock
YRA-0001-18R-14,RG-001,Aura Diamond Ring,Rings,18Kt,Rose,14,IJ/SI,4.273,1.17,IGI,200497933,,104800.0,sold
YRA-0002-14R-12,RG-002,Celeste Diamond Ring,Rings,14Kt,Rose,12,IJ/SI,4.133,0.6,IGI,892811641,,66200.0,in_stock
YRA-0002-14R-18,RG-002,Celeste Diamond Ring,Rings,14Kt,Rose,18,IJ/SI,4.516,0.62,IGI,278634438,,70400.0,in_stock
YRA-0002-14R-16,RG-002,Celeste Diamond Ring,Rings,14Kt,Rose,16,HI/SI,4.385,0.62,GIA,690793751,,80400.0,in_stock
YRA-0002-14Y-6,RG-002,Celeste Diamond Ring,Rings,14Kt,Yellow,6,HI/SI,3.782,0.64,IGI,189104138,,76800.0,in_stock
YRA-0002-14Y-10,RG-002,Celeste Diamond Ring,Rings,14Kt,Yellow,10,HI/SI,4.013,0.61,IGI,620724767,,76600.0,sold
YRA-0002-14Y-12,RG-002,Celeste Diamond Ring,Rings,14Kt,Yellow,12,IJ/SI,4.133,0.61,IGI,256418835,,66700.0,in_stock
YRA-0002-18R-16,RG-002,Celeste Diamond Ring,Rings,18Kt,Rose,16,JK/SI,5.262,0.64,GIA,527424008,,76600.0,in_stock
YRA-0002-18R-18,RG-002,Celeste Diamond Ring,Rings,18Kt,Rose,18,JK/SI,5.419,0.6,GIA,166838090,,76600.0,in_stock
YRA-0002-18R-12,RG-002,Celeste Diamond Ring,Rings,18Kt,Rose,12,IJ/SI,4.96,0.64,IGI,218034622,,83400.0,in_stock
YRA-0002-18W-18,RG-002,Celeste Diamond Ring,Rings,18Kt,White,18,JK/SI,5.419,0.62,IGI,490423179,,77400.0,in_stock
YRA-0002-18W-12,RG-002,Celeste Diamond Ring,Rings,18Kt,White,12,HI/SI,4.96,0.6,GIA,259504871,,91900.0,in_stock
YRA-0002-18W-6,RG-002,Celeste Diamond Ring,Rings,18Kt,White,6,JK/SI,4.538,0.64,GIA,609116260,,69400.0,in_stock
YRA-0003-14R-10,RG-003,Vega Diamond Ring,Rings,14Kt,Rose,10,JK/SI,5.65,1.05,GIA,257413274,,86600.0,in_stock
YRA-0003-14R-16,RG-003,Vega Diamond Ring,Rings,14Kt,Rose,16,JK/SI,6.174,1.05,GIA,790326952,,90900.0,sold
YRA-0003-14R-20,RG-003,Vega Diamond Ring,Rings,14Kt,Rose,20,IJ/SI,6.55,1.04,GIA,279360017,,109700.0,in_stock
YRA-0003-14Y-16,RG-003,Vega Diamond Ring,Rings,14Kt,Yellow,16,HI/SI,6.174,1.03,IGI,978678309,,124300.0,in_stock
YRA-0003-14Y-20,RG-003,Vega Diamond Ring,Rings,14Kt,Yellow,20,HI/SI,6.55,1.04,GIA,481782371,,128200.0,in_stock
YRA-0003-14Y-10,RG-003,Vega Diamond Ring,Rings,14Kt,Yellow,10,IJ/SI,5.65,1.05,GIA,378286356,,102800.0,in_stock
YRA-0003-18W-20,RG-003,Vega Diamond Ring,Rings,18Kt,White,20,HI/SI,7.86,1.01,IGI,604744541,,149900.0,in_stock
YRA-0003-18W-10,RG-003,Vega Diamond Ring,Rings,18Kt,White,10,JK/SI,6.78,1.02,IGI,614830670,,106100.0,sold
YRA-0003-18W-16,RG-003,Vega Diamond Ring,Rings,18Kt,White,16,JK/SI,7.409,1.02,IGI,996197331,,112300.0,in_stock
YRA-0003-18R-20,RG-003,Vega Diamond Ring,Rings,18Kt,Rose,20,IJ/SI,7.86,1.05,GIA,193146944,,134100.0,sold
YRA-0003-18R-16,RG-003,Vega Diamond Ring,Rings,18Kt,Rose,16,IJ/SI,7.409,1.05,GIA,530985811,,129600.0,in_stock
YRA-0003-18R-10,RG-003,Vega Diamond Ring,Rings,18Kt,Rose,10,HI/SI,6.78,1.01,IGI,236406413,,139200.0,in_stock
YRA-0004-14W-18,RG-004,Ira Diamond Ring,Rings,14Kt,White,18,HI/SI,5.091,0.99,IGI,130058036,,112500.0,in_stock
YRA-0004-14W-10,RG-004,Ira Diamond Ring,Rings,14Kt,White,10,HI/SI,4.523,0.96,GIA,378490828,,105700.0,in_stock
YRA-0004-14W-6,RG-004,Ira Diamond Ring,Rings,14Kt,White,6,HI/SI,4.264,0.98,GIA,591946611,,105000.0,in_stock
YRA-0004-14Y-18,RG-004,Ira Diamond Ring,Rings,14Kt,Yellow,18,JK/SI,5.091,0.97,IGI,572580523,,78900.0,sold
YRA-0004-14Y-6,RG-004,Ira Diamond Ring,Rings,14Kt,Yellow,6,HI/SI,4.264,0.97,IGI,251997788,,104200.0,in_stock
YRA-0004-14Y-10,RG-004,Ira Diamond Ring,Rings,14Kt,Yellow,10,JK/SI,4.523,0.98,IGI,450020665,,74600.0,in_stock
YRA-0004-18W-10,RG-004,Ira Diamond Ring,Rings,18Kt,White,10,HI/SI,5.428,0.96,IGI,645153748,,122200.0,in_stock
YRA-0004-18W-18,RG-004,Ira Diamond Ring,Rings,18Kt,White,18,HI/SI,6.109,0.95,GIA,449624976,,128200.0,in_stock
YRA-0004-18W-6,RG-004,Ira Diamond Ring,Rings,18Kt,White,6,JK/SI,5.117,0.97,IGI,843814251,,87600.0,in_stock
